Var,Model,Scenario,Ensemble,1981-2010,2011-2040,2041-2070,2071-2100
tas,MIROC-ESM,historical/RCP8.5,r1i1p1,9.720648786756751,NA,NA,NA
tas,MIROC-ESM,RCP2.6,r1i1p1,NA,11.23109046088327,12.796665445963564,12.715542093912783
tas,MIROC-ESM,RCP4.5,r1i1p1,NA,11.349133046468122,12.894786156548417,13.876272752549935
tas,MIROC-ESM,RCP6.0,r1i1p1,NA,11.08443578084312,12.86574122111005,14.62961620754668
tas,MIROC-ESM,RCP8.5,r1i1p1,NA,11.719182671440995,14.130989583333356,16.64254336886938
tas,MIROC-ESM-CHEM,historical/RCP2.6,r1i1p1,9.405274963378929,NA,NA,NA
tas,MIROC-ESM-CHEM,historical/RCP4.5,r1i1p1,9.322404564751542,NA,NA,NA
tas,MIROC-ESM-CHEM,historical/RCP6.0,r1i1p1,9.401351674397809,NA,NA,NA
tas,MIROC-ESM-CHEM,historical/RCP8.5,r1i1p1,9.33188137478301,NA,NA,NA
tas,MIROC-ESM-CHEM,RCP2.6,r1i1p1,NA,11.59828058878583,12.465139685736785,12.461346689860049
tas,MIROC-ESM-CHEM,RCP4.5,r1i1p1,NA,11.419722917344858,13.110232120090084,13.716270701090517
tas,MIROC-ESM-CHEM,RCP6.0,r1i1p1,NA,10.806142086452931,12.712444220648894,14.588889058431013
tas,MIROC-ESM-CHEM,RCP8.5,r1i1p1,NA,11.565738169352237,14.096009572347027,16.78857879638674
tas,MIROC4h,historical/RCP4.5,r1i1p1,11.097891913519987,NA,NA,NA
tas,MIROC5,historical,r1i1p1,9.920063866509354,NA,NA,NA
tas,MIROC5,RCP2.6,r1i1p1,NA,11.274490441216386,12.255136786566863,11.981438106960743
tas,MIROC5,RCP4.5,r1i1p1,NA,11.195387946234831,12.69678412543405,13.14450861612958
tas,MIROC5,RCP6.0,r1i1p1,NA,11.027033827039954,12.088667890760657,13.734268697102888
tas,MIROC5,RCP8.5,r1i1p1,NA,11.345840454101586,13.911441633436437,15.9614935980903
tas,MPI-ESM-LR,historical/RCP2.6,r1i1p1,6.905555301242427,NA,NA,NA
tas,MPI-ESM-LR,historical/RCP4.5,r1i1p1,6.868104129367428,NA,NA,NA
tas,MPI-ESM-LR,historical/RCP8.5,r1i1p1,6.903654479980491,NA,NA,NA
tas,MPI-ESM-LR,RCP2.6,r1i1p1,NA,7.639063178168426,7.994274478488521,7.6532416449653
tas,MPI-ESM-LR,RCP4.5,r1i1p1,NA,7.611530727810353,8.287960391574458,9.01187922159833
tas,MPI-ESM-LR,RCP8.5,r1i1p1,NA,8.38778508504234,9.663934495713999,11.693882327609614
tas,MPI-ESM-MR,historical/RCP2.6,r1i1p1,7.016547648112002,NA,NA,NA
tas,MPI-ESM-MR,historical/RCP4.5,r1i1p1,7.122161187065995,NA,NA,NA
tas,MPI-ESM-MR,historical/RCP8.5,r1i1p1,7.160244496663434,NA,NA,NA
tas,MPI-ESM-MR,RCP2.6,r1i1p1,NA,7.8688824971517155,7.993090905083573,7.990732489691863
tas,MPI-ESM-MR,RCP4.5,r1i1p1,NA,7.939258744981577,8.738311598036047,9.36918860541452
tas,MPI-ESM-MR,RCP8.5,r1i1p1,NA,8.242681460910395,9.792645772298199,11.755366939968555
